gene_name,refseq_id,miR,SNP,diseases,distance,experimentally_confirmed
CNR1,NM_033181,hsa-miR-30e,rs12720071,"Nicotine dependence, Substance dependence",435,
CNR1,NM_033181,hsa-miR-30a-5p,rs12720071,"Nicotine dependence, Substance dependence",435,
PGR,NM_000926,hsa-miR-320d,rs471767,"Endometrial cancer",-435,
PGR,NM_000926,hsa-miR-320b,rs471767,"Endometrial cancer",-435,
PGR,NM_000926,hsa-miR-320c,rs471767,"Endometrial cancer",-435,
PGR,NM_000926,hsa-miR-320a,rs471767,"Endometrial cancer",-435,
CNR1,NM_033181,hsa-miR-200a,rs4707436,"Attention deficit/hyperactivity disorder",436,
ELN,NM_001081753,hsa-miR-181b,rs34208922,"Isolated systolic hypertension",437,
ELN,NM_001081753,hsa-miR-181a,rs34208922,"Isolated systolic hypertension",437,
ELN,NM_001081753,hsa-miR-181d,rs34208922,"Isolated systolic hypertension",437,
ELN,NM_001081753,hsa-miR-181c,rs34208922,"Isolated systolic hypertension",437,
ONECUT2,NM_004852,hsa-miR-9,rs660936,"Rheumatoid arthritis",437,
ANXA6,NM_001193544,hsa-miR-138,rs11960458,Osteoarthritis,438,
SP4,NM_003112,hsa-miR-219-5p,rs3735440,"Bipolar disorder",-438,
SNAP25,NM_003081,hsa-miR-142-5p,rs8636,Schizophrenia,438,
AKAP12,NM_005100,hsa-miR-1,rs1042363,Alcoholism,439,
AKAP12,NM_005100,hsa-miR-206,rs1042363,Alcoholism,439,
SLC12A5,NM_001134771,hsa-miR-301a,rs9074,"Type 2 diabetes",439,
SLC12A5,NM_001134771,hsa-miR-454,rs9074,"Type 2 diabetes",439,
SLC12A5,NM_001134771,hsa-miR-301b,rs9074,"Type 2 diabetes",439,
SLC12A5,NM_001134771,hsa-miR-130b,rs9074,"Type 2 diabetes",439,
SLC12A5,NM_001134771,hsa-miR-130a,rs9074,"Type 2 diabetes",439,
GREM1,NM_013372,hsa-miR-27b,rs1129456,"Diabetic nephropathy",440,
GREM1,NM_013372,hsa-miR-128,rs1129456,"Diabetic nephropathy",440,
GREM1,NM_013372,hsa-miR-27a,rs1129456,"Diabetic nephropathy",440,
GREM1,NM_013372,hsa-miR-128a,rs1129456,"Diabetic nephropathy",440,
GREM1,NM_013372,hsa-miR-27b,rs1129456,"Diabetic nephropathy",440,
GREM1,NM_013372,hsa-miR-128b,rs1129456,"Diabetic nephropathy",440,
GREM1,NM_013372,hsa-miR-27a,rs1129456,"Diabetic nephropathy",440,
DICER1,NM_001195573,hsa-miR-425,rs3742330,"Esophageal cancer, Oral premalignant",440,
MYH9,NM_002473,hsa-miR-542-3p,rs7078,"Focal segmental glomerulosclerosis, Cleft palate, Hypertension-associated endstage renal disease (ESRD)",-440,
IL6R,NM_181359,hsa-miR-124,rs2229238,Diabetes,-441,
IL6R,NM_181359,hsa-miR-506,rs2229238,Diabetes,-441,
ADIPOR1,NM_015999,hsa-miR-216a,rs7539542,"Breast cancer, Insulin resistance syndrome",441,
ADIPOR1,NM_015999,hsa-miR-216,rs7539542,"Breast cancer, Insulin resistance syndrome",441,
TET1,NM_030625,hsa-miR-183,rs5030882,"Late onset Alzheimer's Disease",441,
TET1,NM_030625,hsa-miR-183,rs5030882,"Late onset Alzheimer's Disease",441,
TET1,NM_030625,hsa-miR-183,rs5030882,"Late onset Alzheimer's Disease",441,
BDNF,NM_170731,hsa-miR-410,rs7124442,"Depression, Eating disorder",-441,
ADAMTSL3,NM_207517,hsa-miR-300,rs2135551,Schizophrenia,-442,
ADAMTSL3,NM_207517,hsa-miR-381,rs2135551,Schizophrenia,-442,
MYH9,NM_002473,hsa-miR-758,rs7078,"Focal segmental glomerulosclerosis, Cleft palate, Hypertension-associated endstage renal disease (ESRD)",-442,
BMPR1B,NM_001203,hsa-miR-23a,rs1434536,"Breast cancer",-443,
BMPR1B,NM_001203,hsa-miR-23b,rs1434536,"Breast cancer",-443,
ADRA2A,NM_000681,hsa-miR-138,rs11195419,"Suicidal behavior",-444,
TGFBR1,NM_001130916,hsa-miR-22,rs334348,"Breast cancer, Colorectal cancer",-447,
ONECUT2,NM_004852,hsa-miR-153,rs608017,"Rheumatoid arthritis",447,
SLC12A5,NM_001134771,hsa-miR-9,rs9074,"Type 2 diabetes",447,
SLC12A5,NM_001134771,hsa-miR-9,rs9074,"Type 2 diabetes",447,
ESR1,NM_001122740,hsa-miR-9,rs2747648,"Breast cancer",448,
GPR85,NM_001146266,hsa-miR-105,rs56080411,Schizophrenia,448,
GPR85,NM_001146266,hsa-miR-105,rs56080411,Schizophrenia,448,
MYH9,NM_002473,hsa-miR-433,rs12107,"Focal segmental glomerulosclerosis, Hypertension-associated endstage renal disease (ESRD)",-448,
ATP6V1A,NM_001690,hsa-miR-217,rs12736,"Type 2 diabetes",-449,
TGFBR1,NM_001130916,hsa-miR-320d,rs334348,"Breast cancer, Colorectal cancer",-449,
TGFBR1,NM_001130916,hsa-miR-320a,rs334348,"Breast cancer, Colorectal cancer",-449,
TGFBR1,NM_001130916,hsa-miR-320c,rs334348,"Breast cancer, Colorectal cancer",-449,
TGFBR1,NM_001130916,hsa-miR-320b,rs334348,"Breast cancer, Colorectal cancer",-449,
SNAP25,NM_003081,hsa-miR-138,rs1051312,"Attention deficit/hyperactivity disorder",-449,
CDK5R1,NM_003885,hsa-miR-186,rs735555,"Alzheimer's disease",-449,
IGF1R,NM_000875,hsa-miR-539,rs2016347,"Breast cancer",450,
ONECUT2,NM_004852,hsa-miR-421,rs3848516,"Rheumatoid arthritis",-450,
TGFBR1,NM_001130916,hsa-miR-140-5p,rs334348,"Breast cancer, Colorectal cancer",451,
TGFBR1,NM_001130916,hsa-miR-140,rs334348,"Breast cancer, Colorectal cancer",452,
TGFBR1,NM_001130916,hsa-miR-140,rs334348,"Breast cancer, Colorectal cancer",452,
TIRAP,NM_001039661,hsa-miR-142-3p,rs611953,Sepsis,-452,
IGF1,NM_001111283,hsa-let-7f,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7b,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7a,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-miR-98,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7d,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7c,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7e,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-miR-202,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7g,rs6220,"Breast cancer",452,
IGF1,NM_001111283,hsa-let-7i,rs6220,"Breast cancer",452,
BDNF,NM_170731,hsa-miR-206,rs11030100,Asthma,453,
BDNF,NM_170731,hsa-miR-1,rs11030100,Asthma,453,Yes
BDNF,NM_170731,hsa-miR-613,rs11030100,Asthma,453,
BDNF,NM_170731,hsa-miR-1,rs11030100,Asthma,453,Yes
BDNF,NM_170731,hsa-miR-206,rs11030100,Asthma,453,
BDNF,NM_170731,hsa-miR-1,rs11030100,Asthma,453,Yes
BDNF,NM_170731,hsa-miR-206,rs11030100,Asthma,453,
SNAP25,NM_003081,hsa-miR-138,rs3746544,"Attention deficit/hyperactivity disorder, Schizophrenia",-453,
HNRNPC,NM_001077443,hsa-miR-194,rs7495,"Type 2 diabetes",454,
MLXIP,NM_014938,hsa-miR-30c,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30e,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30b,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30a,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30d,rs3741452,"Alzheimer's disease",454,
ELN,NM_001081753,hsa-miR-29c,rs34208922,"Isolated systolic hypertension",456,
ELN,NM_001081753,hsa-miR-29a,rs34208922,"Isolated systolic hypertension",456,
ELN,NM_001081753,hsa-miR-29b,rs34208922,"Isolated systolic hypertension",456,
STAT3,NM_213662,hsa-miR-506,rs1053004,"Recurrent miscarriage",456,
STAT3,NM_213662,hsa-miR-124,rs1053004,"Recurrent miscarriage",456,
STAT3,NM_213662,hsa-miR-124a,rs1053004,"Recurrent miscarriage",456,
PPP2R4,NM_178001,hsa-miR-331,rs913275,"High myopia",457,
CHRM1,NM_000738,hsa-miR-103,rs11823728,"High myopia",-457,
CHRM1,NM_000738,hsa-miR-107,rs11823728,"High myopia",-457,
CHRM1,NM_000738,hsa-miR-103,rs11823728,"High myopia",-457,
CHRM1,NM_000738,hsa-miR-107,rs11823728,"High myopia",-457,
IGF1,NM_001111283,hsa-miR-196a,rs6220,"Breast cancer",457,
IGF1,NM_001111283,hsa-miR-196b,rs6220,"Breast cancer",457,
CDK5R1,NM_003885,hsa-miR-217,rs735555,"Alzheimer's disease",-458,
FOXF2,NM_001452,hsa-miR-96,rs45600838,"Disorders of sex development",-459,
FOXF2,NM_001452,hsa-miR-1271,rs45600838,"Disorders of sex development",-459,
IGF1R,NM_000875,hsa-miR-143,rs2016347,"Breast cancer",459,
ESRRG,NR_024099,hsa-miR-211,rs945453,"Breast cancer",-459,
ESRRG,NR_024099,hsa-miR-204,rs945453,"Breast cancer",-459,
FOXF2,NM_001452,hsa-miR-182,rs45600838,"Disorders of sex development",-460,
FOXF2,NM_001452,hsa-miR-96,rs45600838,"Disorders of sex development",-460,
FOXF2,NM_001452,hsa-miR-182,rs45600838,"Disorders of sex development",-460,
ESRRG,NR_024099,hsa-miR-204,rs945453,"Breast cancer",-460,
ESRRG,NR_024099,hsa-miR-211,rs945453,"Breast cancer",-460,
ESRRG,NR_024099,hsa-miR-204,rs945453,"Breast cancer",-460,
ESRRG,NR_024099,hsa-miR-211,rs945453,"Breast cancer",-460,
IL15,NM_000585,hsa-miR-203,rs10833,"Preterm birth",461,
TET1,NM_030625,hsa-miR-7,rs5030882,"Late onset Alzheimer's Disease",-461,
CXCL12,NM_000609,hsa-miR-141,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",461,
CXCL12,NM_000609,hsa-miR-200a,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",461,
CXCL12,NM_000609,hsa-miR-200a,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",461,
TLK2,NM_001112707,hsa-miR-320c,rs2245092,"Breast cancer",461,
TLK2,NM_001112707,hsa-miR-320d,rs2245092,"Breast cancer",461,
TLK2,NM_001112707,hsa-miR-320b,rs2245092,"Breast cancer",461,
TLK2,NM_001112707,hsa-miR-320a,rs2245092,"Breast cancer",461,
TLK2,NM_001112707,hsa-miR-320,rs2245092,"Breast cancer",461,
TLK2,NM_001112707,hsa-miR-320,rs2245092,"Breast cancer",461,
FOXF2,NM_001452,hsa-miR-9,rs45600838,"Disorders of sex development",-462,
CXCL12,NM_000609,hsa-miR-141,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",462,
CRHR1,NM_001145146,hsa-miR-449a,rs937,"Progressive supranuclear palsy",-462,
CRHR1,NM_001145146,hsa-miR-34c-5p,rs937,"Progressive supranuclear palsy",-462,
CRHR1,NM_001145146,hsa-miR-449b,rs937,"Progressive supranuclear palsy",-462,
CRHR1,NM_001145146,hsa-miR-34a,rs937,"Progressive supranuclear palsy",-462,
CRHR1,NM_001145146,hsa-miR-34c,rs937,"Progressive supranuclear palsy",-462,
CRHR1,NM_001145146,hsa-miR-34b,rs937,"Progressive supranuclear palsy",-462,
TLK2,NM_001112707,hsa-miR-22,rs2245092,"Breast cancer",462,
TLK2,NM_001112707,hsa-miR-22,rs2245092,"Breast cancer",462,
ESR1,NM_001122740,hsa-miR-539,rs1062577,"Breast cancer",-463,
EFNB2,NM_004093,hsa-miR-188,rs9520087,Schizophrenia,-463,
EFNB2,NM_004093,hsa-miR-188,rs9520087,Schizophrenia,-463,
CRHR1,NM_001145146,hsa-miR-34a,rs937,"Progressive supranuclear palsy",-463,
STAT6,NR_033659,hsa-miR-198,rs703817,Leukemia,463,
TNPO3,NR_034053,hsa-miR-197,rs2280714,"Systemic lupus erythematosus",464,
TET1,NM_030625,hsa-miR-590-5p,rs5030882,"Late onset Alzheimer's Disease",464,
TET1,NM_030625,hsa-miR-21,rs5030882,"Late onset Alzheimer's Disease",464,
LPHN1,NM_014921,hsa-miR-381,rs3810256,"Rheumatoid arthritis",464,
LPHN1,NM_014921,hsa-miR-300,rs3810256,"Rheumatoid arthritis",464,
IL10,NM_000572,hsa-miR-340,rs3024496,"Colorectal cancer, Prostate cancer, Hepatic steatosis",-464,
PGR,NM_000926,hsa-miR-23a,rs471767,"Endometrial cancer",-464,
PGR,NM_000926,hsa-miR-23b,rs471767,"Endometrial cancer",-464,
USF1,NM_007122,hsa-miR-590-3p,rs3737787,"Familial combined hyperlipidemia, Coronary atherosclerosis, Obesity, Type 2 diabetes",-465,
GFPT2,NM_005110,hsa-miR-124,rs7725,"Chronic renal insufficiency",465,
GFPT2,NM_005110,hsa-miR-506,rs7725,"Chronic renal insufficiency",465,
IGFBP5,NM_000599,hsa-miR-204,rs3276,"Metabolic syndrome",465,
IGFBP5,NM_000599,hsa-miR-211,rs3276,"Metabolic syndrome",465,
CHRNA2,NM_000742,hsa-miR-197,rs2292975,"Nicotine dependence",465,
CDK5R1,NM_003885,hsa-miR-200b,rs735555,"Alzheimer's disease",-465,
PPARGC1A,NM_013261,hsa-miR-7,rs6821591,"Huntington's disease",-466,
PPARGC1A,NM_013261,hsa-miR-7,rs6821591,"Huntington's disease",-466,
ADAMTSL3,NM_207517,hsa-miR-92b,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-92a,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-32,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-367,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-25,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-363,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-25,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-367,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-367,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-25,rs2135551,Schizophrenia,-466,
ADAMTSL3,NM_207517,hsa-miR-92,rs2135551,Schizophrenia,-467,
ADAMTSL3,NM_207517,hsa-miR-32,rs2135551,Schizophrenia,-467,
ADAMTSL3,NM_207517,hsa-miR-32,rs2135551,Schizophrenia,-467,
ADAMTSL3,NM_207517,hsa-miR-92,rs2135551,Schizophrenia,-467,
JDP2,NM_001135047,hsa-miR-495,rs8215,"Intracranial aneurysms",-467,
LIF,NM_002309,hsa-miR-26b,rs929271,Schizophrenia,468,
LIF,NM_002309,hsa-miR-1297,rs929271,Schizophrenia,468,
LIF,NM_002309,hsa-miR-26a,rs929271,Schizophrenia,468,Yes
BDNF,NM_170731,hsa-miR-365,rs7124442,"Depression, Eating disorder",-469,
BMPR2,NM_001204,hsa-miR-93,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-20b,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-519d,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-106b,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-17,rs17199249,"Sickle cell disease",470,Yes
BMPR2,NM_001204,hsa-miR-106a,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-20a,rs17199249,"Sickle cell disease",470,Yes
BMPR2,NM_001204,hsa-miR-106a,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-372,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-20,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-106b,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-106a,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-372,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-20,rs17199249,"Sickle cell disease",470,
BMPR2,NM_001204,hsa-miR-106b,rs17199249,"Sickle cell disease",470,
BDNF,NM_170731,hsa-miR-155,rs7124442,"Depression, Eating disorder",-470,
BMPR2,NM_001204,hsa-miR-302b,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-520e,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-373,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-302e,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-302a,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-302c,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-520b,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-520d-3p,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-302d,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-372,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-520a-3p,rs17199249,"Sickle cell disease",471,
BMPR2,NM_001204,hsa-miR-520c-3p,rs17199249,"Sickle cell disease",471,
SERPINE1,NM_001165413,hsa-miR-152,rs2227714,"Portopulmonary hypertension",-471,
SERPINE1,NM_001165413,hsa-miR-148a,rs2227714,"Portopulmonary hypertension",-471,
SERPINE1,NM_001165413,hsa-miR-148b,rs2227714,"Portopulmonary hypertension",-471,
ACCN1,NM_183377,hsa-miR-153,rs28936,"Multiple sclerosis",471,
JDP2,NM_001135047,hsa-miR-495,rs8215,"Intracranial aneurysms",-471,
USP24,NM_015306,hsa-miR-182,rs1043671,"Parkinson's disease",-473,
SERPINE1,NM_001165413,hsa-miR-199b-5p,rs2227714,"Portopulmonary hypertension",-473,
SERPINE1,NM_001165413,hsa-miR-199a-5p,rs2227714,"Portopulmonary hypertension",-473,
ONECUT2,NM_004852,hsa-miR-329,rs519596,"Rheumatoid arthritis",473,
ONECUT2,NM_004852,hsa-miR-362-3p,rs519596,"Rheumatoid arthritis",473,
INSR,NM_000208,hsa-miR-16,rs1051690,"Colorectal cancer",-473,
INSR,NM_000208,hsa-miR-15b,rs1051690,"Colorectal cancer",-473,
INSR,NM_000208,hsa-miR-15a,rs1051690,"Colorectal cancer",-473,
INSR,NM_000208,hsa-miR-424,rs1051690,"Colorectal cancer",-473,
INSR,NM_000208,hsa-miR-497,rs1051690,"Colorectal cancer",-473,
INSR,NM_000208,hsa-miR-195,rs1051690,"Colorectal cancer",-473,
LIF,NM_002309,hsa-miR-504,rs737812,Schizophrenia,-473,
ONECUT2,NM_004852,hsa-miR-9,rs674849,"Rheumatoid arthritis",474,
DRD2,NM_000795,hsa-miR-326,rs6276,"Delirium tremens",-475,
DRD2,NM_000795,hsa-miR-330-5p,rs6276,"Delirium tremens",-475,
DRD2,NM_000795,hsa-miR-326,rs6276,"Delirium tremens",-475,
TLK2,NM_001112707,hsa-miR-206,rs2245092,"Breast cancer",476,
TLK2,NM_001112707,hsa-miR-613,rs2245092,"Breast cancer",476,
TLK2,NM_001112707,hsa-miR-1,rs2245092,"Breast cancer",476,
KIF26A,NM_015656,hsa-miR-129-5p,rs1547350,"Type 2 diabetes",-477,
ETS1,NM_001143820,hsa-miR-124a,rs1128334,"Systemic lupus erythematosus",478,
ADIPOR2,NM_024551,hsa-miR-218,rs12342,"Insulin resistance syndrome",-478,
ADIPOR2,NM_024551,hsa-miR-218,rs12342,"Insulin resistance syndrome",-478,
ADIPOR2,NM_024551,hsa-miR-218,rs12342,"Insulin resistance syndrome",-478,
TLR4,NM_138554,hsa-miR-140-5p,rs11536889,"Myocardial infarction",478,
TGFBR1,NM_001130916,hsa-miR-27a,rs7871490,"Colorectal cancer",480,
TGFBR1,NM_001130916,hsa-miR-27b,rs7871490,"Colorectal cancer",480,
TGFBR1,NM_001130916,hsa-miR-128,rs7871490,"Colorectal cancer",480,Yes
ONECUT2,NM_004852,hsa-miR-199a-5p,rs2279096,"Rheumatoid arthritis",-481,
ONECUT2,NM_004852,hsa-miR-199b-5p,rs2279096,"Rheumatoid arthritis",-481,
STAT6,NR_033659,hsa-miR-214,rs703817,Leukemia,-481,
SQSTM1,NM_001142299,hsa-miR-20a,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-106b,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-106a,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-93,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-17,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-20b,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-519d,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-20,rs10277,"Paget's disease of bone",482,
SQSTM1,NM_001142299,hsa-miR-106b,rs10277,"Paget's disease of bone",482,
DBH,NM_000787,hsa-miR-211,rs129882,"Parkinson's disease",-482,
DBH,NM_000787,hsa-miR-204,rs129882,"Parkinson's disease",-482,
SQSTM1,NM_001142299,hsa-miR-93,rs10277,"Paget's disease of bone",483,
SQSTM1,NM_001142299,hsa-miR-372,rs10277,"Paget's disease of bone",483,
SQSTM1,NM_001142299,hsa-miR-17-5p,rs10277,"Paget's disease of bone",483,
SQSTM1,NM_001142299,hsa-miR-106a,rs10277,"Paget's disease of bone",483,
MYH9,NM_002473,hsa-miR-410,rs7078,"Focal segmental glomerulosclerosis, Cleft palate, Hypertension-associated endstage renal disease (ESRD)",-483,
CLOCK,NM_004898,hsa-miR-30d,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-484,
CLOCK,NM_004898,hsa-miR-30e,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-484,
CLOCK,NM_004898,hsa-miR-30b,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-484,
CLOCK,NM_004898,hsa-miR-30c,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-484,
CLOCK,NM_004898,hsa-miR-30a,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-484,
SQSTM1,NM_001142299,hsa-miR-520e,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-302d,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-373,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-520a-3p,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-302e,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-520d-3p,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-302c,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-302b,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-372,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-302a,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-520c-3p,rs10277,"Paget's disease of bone",484,
SQSTM1,NM_001142299,hsa-miR-520b,rs10277,"Paget's disease of bone",484,
CLOCK,NM_004898,hsa-miR-30e,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-485,
CLOCK,NM_004898,hsa-miR-30d,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-485,
CLOCK,NM_004898,hsa-miR-30e,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-485,
CLOCK,NM_004898,hsa-miR-30d,rs1801260,"Insomnia, Metabolic syndrome, Attention deficit/hyperactivity disorder",-485,
PIP4K2A,NM_005028,hsa-miR-200b,rs8341,Schizophrenia,485,
PIP4K2A,NM_005028,hsa-miR-200c,rs8341,Schizophrenia,485,
PIP4K2A,NM_005028,hsa-miR-429,rs8341,Schizophrenia,485,
ACVR2A,NM_001616,hsa-miR-142-3p,rs13430086,Pre-eclampsia,486,
IGF1,NM_001111283,hsa-miR-215,rs6214,"Myopia, Colorectal cancer, Barrett's esophagus",-486,
IGF1,NM_001111283,hsa-miR-192,rs6214,"Myopia, Colorectal cancer, Barrett's esophagus",-486,
PTGER2,NM_000956,hsa-miR-384,rs17197,"Essential hypertension",-486,
C6orf62,NM_030939,hsa-miR-92a,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-25,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-367,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-32,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-363,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-92b,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-367,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-32,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-92,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-367,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-32,rs3756814,"Developmental dyslexia",-487,
C6orf62,NM_030939,hsa-miR-92,rs3756814,"Developmental dyslexia",-487,
ONECUT2,NM_004852,hsa-miR-186,rs660936,"Rheumatoid arthritis",487,
C6orf62,NM_030939,hsa-miR-25,rs3756814,"Developmental dyslexia",-488,
C6orf62,NM_030939,hsa-miR-25,rs3756814,"Developmental dyslexia",-488,
GPR85,NM_001146266,hsa-miR-17-3p,rs56080411,Schizophrenia,488,
GPR85,NM_001146266,hsa-miR-17-3p,rs56080411,Schizophrenia,488,
ONECUT2,NM_004852,hsa-miR-186,rs2279096,"Rheumatoid arthritis",-488,
CD247,NM_198053,hsa-miR-330-5p,rs1052230,"Systemic lupus erythematosus",489,
CD247,NM_198053,hsa-miR-326,rs1052230,"Systemic lupus erythematosus",489,
SLC1A1,NM_004170,hsa-miR-1297,rs3087879,Obesity,489,
SLC1A1,NM_004170,hsa-miR-26a,rs3087879,Obesity,489,
SLC1A1,NM_004170,hsa-miR-26b,rs3087879,Obesity,489,
SLC1A1,NM_004170,hsa-miR-26a,rs3087879,Obesity,489,
SLC1A1,NM_004170,hsa-miR-26b,rs3087879,Obesity,489,
RPA1,NM_002945,hsa-miR-361-5p,rs5030740,"Premenopausal breast cancer risk",-489,
FOXA2,NM_021784,hsa-miR-876-5p,rs1055080,"Type 2 diabetes",-489,
HTR2A,NM_000621,hsa-miR-105,rs3125,"Bipolar disorder",-490,
MBD2,NM_003927,hsa-miR-7,rs1259938,"Breast cancer",490,
MBD2,NM_003927,hsa-miR-7,rs1259938,"Breast cancer",490,
ESR1,NM_001122740,hsa-miR-384,rs9341070,"Breast cancer, Type 2 diabetes",-493,
GATA4,NM_002052,hsa-miR-16,rs1062270,"Congenital heart disease",493,
GATA4,NM_002052,hsa-miR-15b,rs1062270,"Congenital heart disease",493,
GATA4,NM_002052,hsa-miR-195,rs1062270,"Congenital heart disease",493,
GATA4,NM_002052,hsa-miR-424,rs1062270,"Congenital heart disease",493,
